,id,author_id,lang,text,title,created_at,url,source,normalized_text,type,probability,tag 1,tag 2,tag 3,tag 4,tag 5,Mentions Total,retweet count,reply count,like count,quote count,possibly_sensitive
19,1453476969492930564,1403861754808049666,en,"RT @sallyeaves: Scaling #AI in #Manufacturing 
Enhance #safety &amp; #quality + reduce #costs 
It's simplified #AI based #MachineLearning
Explo…",,2021-10-27T21:41:28.000Z,,Twitter Web App,,,,AI,Manufacturing,safety,quality,costs,1,6,0,0,0,False
20,1453476959091105801,4633373074,en,"RT @invbotfunko: [$25.00]
Funko POP! Marvel: Marvel Zombies- 10"" Deadpool - Walmart Ex
#funkoPOP #walmartExclusive
Source: Walmart Checker…",,2021-10-27T21:41:26.000Z,,Lewie,Marvel Zombies,Product,0.316,funkoPOP,walmartExclusive,,,,1,1,0,0,0,False
21,1453476953390997508,1428347863503802374,en,"Swap the G-Shock for one of these awesome Pokemon touch screen watches, on sale now on Amazon for only $29.47 at: https://t.co/1saORXffn1 #ad",Pokémon Touchscreen Interactive Smart Watch,2021-10-27T21:41:24.000Z,https://t.co/1saORXffn1,Twitter,G-Shock,Product,0.3067,ad,,,,,0,0,0,0,0,False
23,1453476947707695110,877639180607774721,en,"RT @ScooterMagruder: Had a ton of fun shooting my #WalmartPlus spot with @_CeeDeeThree

Take a peek behind the scenes, and score free same-…",,2021-10-27T21:41:23.000Z,,Twitter for iPhone,,,,WalmartPlus,,,,,2,1,0,0,0,False
24,1453476947217076230,713580763694891008,en,"RT @LeekDuck: Pokémon is timeless because there's always something for everyone. ☀☁

And now Pokémon Shirts offers even more options for yo…",,2021-10-27T21:41:23.000Z,,Twitter for iPhone,Pokémon,Product,0.3793,,,,,,1,59,0,0,0,False
26,1453476926119546886,846078295,en,"RT @URDailyHistory: 27 Oct 939: The first #King of England, #Athelstan, dies. He never married nor had children so his half #brother Edmund…",,2021-10-27T21:41:18.000Z,,Twitter Web App,England,Place,0.8386,King,Athelstan,brother,,,1,27,0,0,0,False
27,1453476925247303691,1183506566848352256,en,"RT @wendt_lynn: @begum_saifa Beautiful #celebratesidlotte 
#SanditonNeedsSidney #SidlotteForever #SaveSidneyParker #LastAustenHero #JASandi…",,2021-10-27T21:41:17.000Z,,Twitter Web App,,,,celebratesidlotte,SanditonNeedsSidney,SidlotteForever,SaveSidneyParker,LastAustenHero,2,6,0,0,0,False
28,1453476914660773891,1404096805483302914,en,"FASHION ICON 🔥

#instagram #post #fashion #iconic #beauty #makeup #models #USA #MakeupArtist #Lipstick #luxury #brands #tiktok #YouTube #WhatsApp #snapchat #Ad #Halloween #PFW #NYFW #FashionWeek #GMA #ellenshow #FallonTonight #Pandora #Radio #Bollywood #Turkey #Apple #anime #Art https://t.co/80ltoiwltF",,2021-10-27T21:41:15.000Z,https://t.co/80ltoiwltF,Twitter for Android,,,,instagram,post,fashion,iconic,beauty,0,0,0,0,0,False
29,1453476913729658884,32740920,en,"Had a ton of fun shooting my #WalmartPlus spot with @_CeeDeeThree

Take a peek behind the scenes, and score free same-day delivery from your @walmart store on groceries &amp; more with your membership! #ad https://t.co/bj7Ikedakj",,2021-10-27T21:41:15.000Z,https://t.co/bj7Ikedakj,Twitter Media Studio,,,,WalmartPlus,ad,,,,2,1,0,8,1,False
30,1453476895018807297,472683072,en,RT @Wario64: Disco Elysium: The Final Cut (Xbox) is up for preorder at Amazon ($39.99) https://t.co/bDncMzmwjK #ad https://t.co/4odjNzuQhq,,2021-10-27T21:41:10.000Z,https://t.co/bDncMzmwjK,Twitter for Android,Disco Elysium: The Final Cut,Product,0.5833,ad,,,,,1,6,0,0,0,False
31,1453476894289154059,1312929373343952896,en,"🔥 BESTBUY : GIGABYTE GeForce RTX 3060 Ti GAMING OC PRO REV3.0 LHR- $749

Link: https://t.co/Ho8enMd2c6

ATC: https://t.co/yB2H4M8X7s

#bestbuy | #gigabyte | #rtx3060ti | #ad

TS: 1635370870457",,2021-10-27T21:41:10.000Z,https://t.co/Ho8enMd2c6,Stonky69,BESTBUY : GIGABYTE GeForce RTX 3060 Ti GAMING OC PRO REV3,Product,0.1953,bestbuy,gigabyte,rtx3060ti,ad,,0,0,0,0,0,False
32,1453476869685354502,1346678811434352645,en,"RT @snkr_twitr: CORRECTION: Dropping tomorrow 3pm PT/6pm ET via Urbanstar 

Nike Dunk Low ‘Halloween’
-&gt;  https://t.co/08XnrlyxQr

Nike Air…",,2021-10-27T21:41:04.000Z,https://t.co/08XnrlyxQr,Twitter for iPhone,Nike Dunk Low,Product,0.421,,,,,,1,24,0,0,0,True
33,1453476856376795137,1414863205864595456,en,"How much is monstainfinite worth?

With an yearly #traffic of 1M users, it can generate a potential #ad #revenue of $ 16,568 USD. Learn more about its website worth at https://t.co/9edBjkWUoV

#site #worth #domain #ad #revenue #website #development #monstainfinite #hosting #web",,2021-10-27T21:41:01.000Z,https://t.co/9edBjkWUoV,Twitter,,,,traffic,ad,revenue,site,worth,0,0,0,0,0,False
36,1453476813318012936,1363974177099816968,en,"🇪🇸🇪🇸🇪🇸 [SHIPS TO US] [599,00 €]
Gigabyte Technology Tarjeta Grafica Radeon RX 6600 XT Gaming
#radeon6600XT
Source: Amazon Checker v3R
Reason: Sold by Amazon

🛒: https://t.co/g4kZ3FZkV8
05:40:43.3300 PM EDT #Ad

https://t.co/1LRQADEab4",,2021-10-27T21:40:51.000Z,https://t.co/g4kZ3FZkV8,Twitter,Gigabyte Technology Tarjeta Grafica Radeon RX 6600 XT Gaming #radeon6600XT Source,Product,0.2512,radeon6600XT,Ad,,,,0,0,0,0,0,False
37,1453476813288742918,1342919737358110720,en,"🇪🇸🇪🇸🇪🇸 [SHIPS TO US] [599,00 €]
Gigabyte Technology Tarjeta Grafica Radeon RX 6600 XT Gaming
#radeon6600XT
Source: Amazon Checker v3R
Reason: Sold by Amazon

🛒: https://t.co/RYzrLkyPRp
05:40:43.3300 PM EDT #Ad

https://t.co/lXmGOPxUpz",,2021-10-27T21:40:51.000Z,https://t.co/RYzrLkyPRp,Twitter,Gigabyte Technology Tarjeta Grafica Radeon RX 6600 XT Gaming #radeon6600XT Source,Product,0.2512,radeon6600XT,Ad,,,,0,0,0,0,0,False
38,1453476796465307648,787392321998295040,en,RT @Wario64: Disco Elysium: The Final Cut (Xbox) is up for preorder at Amazon ($39.99) https://t.co/bDncMzmwjK #ad https://t.co/4odjNzuQhq,,2021-10-27T21:40:47.000Z,https://t.co/bDncMzmwjK,TweetDeck,Disco Elysium: The Final Cut,Product,0.5833,ad,,,,,1,6,0,0,0,False
39,1453476781080694794,1389232006467293187,en,RT @Wario64: Disco Elysium: The Final Cut (Xbox) is up for preorder at Amazon ($39.99) https://t.co/bDncMzmwjK #ad https://t.co/4odjNzuQhq,,2021-10-27T21:40:43.000Z,https://t.co/bDncMzmwjK,Twitter Web App,Disco Elysium: The Final Cut,Product,0.5833,ad,,,,,1,6,0,0,0,False
40,1453476738550349831,1342919737358110720,en,"[$459.99]
Nintendo Switch in Neon with Hyrule Warriors and Accessory K
#nintendo #switch
Source: Walmart Checker
Reason: IN_STOCK

🛒: https://t.co/vkhQOj8aaf

05:40:29.5260 PM EDT #Ad

https://t.co/rXjc3E2UAk",Redirecting to Walmart,2021-10-27T21:40:33.000Z,https://t.co/vkhQOj8aaf,Twitter,Hyrule Warriors and Accessory K,Product,0.1651,nintendo,switch,Ad,,,0,0,0,0,0,False
41,1453476734066626561,876529315738902528,en,RT @Wario64: Disco Elysium: The Final Cut (Xbox) is up for preorder at Amazon ($39.99) https://t.co/bDncMzmwjK #ad https://t.co/4odjNzuQhq,,2021-10-27T21:40:32.000Z,https://t.co/bDncMzmwjK,Twitter for Android,Disco Elysium: The Final Cut,Product,0.5833,ad,,,,,1,6,0,0,0,False
42,1453476725338353667,1342969719624761362,en,"[$459.99]
Nintendo Switch in Neon with Hyrule Warriors and Accessory K
#nintendo #switch
Source: Walmart Checker
Reason: IN_STOCK

🛒: https://t.co/CwM4SRSCwh

05:40:29.5260 PM EDT #Ad

https://t.co/7NrQJd00kk",,2021-10-27T21:40:30.000Z,https://t.co/CwM4SRSCwh,Twitter,Hyrule Warriors and Accessory K,Product,0.1651,nintendo,switch,Ad,,,0,0,0,0,0,False
43,1453476702068387840,1098494582,en,"RT @thuso_thelejane: #Ad
QUEENEVA ORGANIC PRODUCTS

Queeneva Penis Enlargement is 100% Organic comes in capsule form

Our Penis Enlargement…",,2021-10-27T21:40:24.000Z,,Twitter for iPhone,,,,Ad,,,,,1,125,0,0,0,False
44,1453476688935981063,16297193,en,"Come out, come out wherever you are! 

🪓 https://t.co/MlnsGcAhAk #ad https://t.co/7nfLUwWhHb",Running From A Giant Killer Baby - Gmod: Slasher,2021-10-27T21:40:21.000Z,https://t.co/MlnsGcAhAk,Sprinklr,,,,ad,,,,,0,1,0,25,0,False
45,1453476666890756099,2389208162,en,"RT @solefed: Tomorrow at 8am PT/11am ET - Supreme Week 10

https://t.co/J5YWoIH6CS

#Ad https://t.co/orV6cxca7j",,2021-10-27T21:40:16.000Z,https://t.co/J5YWoIH6CS,Twitter for iPhone,,,,Ad,,,,,1,2,0,0,0,True
46,1453476665879846923,158377515,en,"Lot of 3 red-pink cotton fat quarters: 21 1/2"" - 22"" long by 18"" wide #sewing #ad #craft https://t.co/VJlpdPypTh",,2021-10-27T21:40:16.000Z,https://t.co/VJlpdPypTh,Twitter,,,,sewing,ad,craft,,,0,0,0,0,0,False
47,1453476662553812997,827092120334893056,en,"RT @sallyeaves: Scaling #AI in #Manufacturing 
Enhance #safety &amp; #quality + reduce #costs 
It's simplified #AI based #MachineLearning
Explo…",,2021-10-27T21:40:15.000Z,,Twitter Web App,,,,AI,Manufacturing,safety,quality,costs,1,6,0,0,0,False
48,1453476660074844161,1147755187940933634,en,"RT @nikkikolls: Emperor's Champion ✨ Big thank you to @WarComTeam for sending him my way - he is a treat to paint! 😊

#warhammercommunity #…",,2021-10-27T21:40:14.000Z,,Twitter for iPhone,,,,warhammercommunity,,,,,2,37,0,0,0,False
49,1453476645403193345,28955739,en,Disco Elysium: The Final Cut (Xbox) is up for preorder at Amazon ($39.99) https://t.co/bDncMzmwjK #ad https://t.co/4odjNzuQhq,Disco Elysium: The Final Cut - Xbox One,2021-10-27T21:40:11.000Z,https://t.co/bDncMzmwjK,TweetDeck,Disco Elysium: The Final Cut (Xbox),Product,0.2779,ad,,,,,0,6,3,20,2,False
51,1453476617473363970,1380008843116175362,en,"RT @heidiklum: BOOO! I’ve partnered with Cash App this Halloween to gift $1,000,000 in stock to my fans. For a chance to win, drop your cas…",,2021-10-27T21:40:04.000Z,,Twitter for Android,Halloween,Other,0.8215,,,,,,1,895,0,0,0,False
52,1453476612234747914,792182745942233089,en,#ad The Nike Women's Air Force 1 Shadow 'Cashmere' is now available via @footlocker! |$120| #SneakerScouts @Nike https://t.co/XzvR2gHbSM https://t.co/m7koosHKQx,,2021-10-27T21:40:03.000Z,https://t.co/XzvR2gHbSM,Hootsuite Inc.,Nike Women's Air Force 1 Shadow 'Cashmere,Product,0.6868,ad,SneakerScouts,,,,2,0,0,0,0,False
53,1453476606224314368,1400440406597320709,en,RT @lomadia: UK FOLKS: you could win a brand new EPOS H3 Hybrid or EPOS H6PRO headset! I'm giving away FOUR - two of each - kindly provided…,,2021-10-27T21:40:01.000Z,,Twitter Web App,UK,Place,0.575,,,,,,1,70,0,0,0,False
54,1453476599639117826,107879781,en,#AD Enter to win the Horror Trivia Game from @Endless_Games on #TwoClassyChics Blog https://t.co/4dH2sT2Zyp Ends 11-16 #Giveaway #games https://t.co/0827VdxfxQ,,2021-10-27T21:40:00.000Z,https://t.co/4dH2sT2Zyp,TweetDeck,Horror Trivia Game,Other,0.4189,AD,TwoClassyChics,Giveaway,games,,1,0,0,0,0,False
55,1453476592668188675,56566855,en,RT @Wario64: Grand Theft Auto: The Trilogy – The Definitive Edition (Switch) is up for preorder at Best Buy ($59.99) https://t.co/7rbPK7xut…,,2021-10-27T21:39:58.000Z,,Twitter for Android,Grand Theft Auto: The Trilogy – The Definitive Edition,Product,0.1828,,,,,,1,13,0,0,0,False
56,1453476589648367617,1102420105,en,RT @Wario64: Dagon: by H. P. Lovecraft is free on GOG https://t.co/kQNIRUmRga #ad https://t.co/0srzlsnMLI,,2021-10-27T21:39:57.000Z,https://t.co/kQNIRUmRga,Twitter for Android,H. P. Lovecraft,Person,0.8933,ad,,,,,1,21,0,0,0,False
57,1453476559411683334,1363974177099816968,en,"🇪🇸🇪🇸🇪🇸 [SHIPS TO US] [1.053,45 €]
Gigabyte AORUS GeForce RTX 3070 Master 8G (Rev. 2.0) NVIDIA 
#rtx3070 #geforce3070
Source: Amazon Checker v3R
Reason: Sold by Amazon

🛒: https://t.co/pBgYCDQwFf
05:39:43.4360 PM EDT #Ad

https://t.co/e24ARIFTdQ",,2021-10-27T21:39:50.000Z,https://t.co/pBgYCDQwFf,Twitter,Gigabyte AORUS GeForce RTX 3070 Master 8G (Rev. 2.0) NVIDIA,Product,0.279,rtx3070,geforce3070,Ad,,,0,0,0,0,0,False
58,1453476559411630082,1342919737358110720,en,"🇪🇸🇪🇸🇪🇸 [SHIPS TO US] [1.053,45 €]
Gigabyte AORUS GeForce RTX 3070 Master 8G (Rev. 2.0) NVIDIA 
#rtx3070 #geforce3070
Source: Amazon Checker v3R
Reason: Sold by Amazon

🛒: https://t.co/8uengOwIWe
05:39:43.4360 PM EDT #Ad

https://t.co/wv7ExuAuzK",,2021-10-27T21:39:50.000Z,https://t.co/8uengOwIWe,Twitter,Gigabyte AORUS GeForce RTX 3070 Master 8G (Rev. 2.0) NVIDIA,Product,0.279,rtx3070,geforce3070,Ad,,,0,0,0,0,0,False
59,1453476551295602696,959587361406443525,en,"RT @thisismerete: ✨🎉 GIVEAWAY! 🎉✨

In celebration of 4 fantastic years of streaming on Twitch, @BlueMicrophones has provided a Blue Yeti to…",,2021-10-27T21:39:48.000Z,,Twitter Web App,Twitch,Product,0.5946,,,,,,2,47,0,0,0,False
62,1453476509906309122,2727931166,en,To Love Ru Darkness 2 is $47.38 on Amazon https://t.co/eO8F8nANzi #ad https://t.co/INXT0Vqv8Q,,2021-10-27T21:39:38.000Z,https://t.co/eO8F8nANzi,TweetDeck,To Love Ru Darkness 2,Product,0.3959,ad,,,,,0,0,0,0,0,False
63,1453476509423865859,1184982643944767490,en,"RT @Wario64: $1 - Sonic Adventure 2 + DLC, Sonic Adventure DX, All-Stars Racing, Sonic 4
BTA - All-Stars Racing Transformed, Sonic Generati…",,2021-10-27T21:39:38.000Z,,Twitter for iPhone,,,,,,,,,1,63,0,0,0,False
64,1453476484757262339,1149484549019185152,en,RT @Wario64: Humble Games Bundle: Sonic the Hedgehog 30th Anniversary https://t.co/q5TDsYoyXU #ad https://t.co/AieP6Gn9Xv,,2021-10-27T21:39:32.000Z,https://t.co/q5TDsYoyXU,Twitter for iPhone,Sonic the Hedgehog 30th Anniversary,Other,0.2677,ad,,,,,1,177,0,0,0,False
65,1453476470106460161,3672635604,en,"RT @CFBONFOX: Getting excited for #BigNoonKickoff in East Lansing?!

@Wendys is delivering fans the show they want to watch this Saturday.…",,2021-10-27T21:39:29.000Z,,Twitter for iPhone,East Lansing,Place,0.9433,BigNoonKickoff,,,,,2,5,0,0,0,False
69,1453476381287981058,1199820280002228229,en,"RT @leiane1: 🔥HUGE #NFTGiveaway 🔥

Win a Camo Croc NFT: a collection of 9700 highly detailed crocs arriving on the Ethereum blockchain mid-…",,2021-10-27T21:39:08.000Z,,Twitter Web App,Camo Croc NFT,Product,0.4717,NFTGiveaway,,,,,1,278,0,0,0,False
70,1453476370944696321,221461587,en,"Only 4 more sleeps 'til the big Buggy Bash at the Bremerton Bug &amp; Reptile Museum! (Say that five times fast!) 😆
Stop by on Halloween between 10am-5pm and touch some of their critters, and collect a treat! 
INFO: https://t.co/VrM5oWmoOf

#ad https://t.co/RjiIK9jpeS",,2021-10-27T21:39:05.000Z,https://t.co/VrM5oWmoOf,Twitter Web App,Bremerton Bug & Reptile Museum,Place,0.5189,ad,,,,,0,0,0,0,0,False
71,1453476368868642825,1191759347287838720,en,"VIP member card has been sent for the #NBA + #NHL + #MLB. 

Loaded slate today - I look to deliver a major profit for my clients #TeamPremium

Use code “PREMIUM15” to save 15% on a VIP 📦 

JOIN 👇

https://t.co/WbshZ8ly3R

#trending #ad #gamblingtwitter #freepicks #parlays",,2021-10-27T21:39:05.000Z,https://t.co/WbshZ8ly3R,Twitter for iPhone,,,,NBA,NHL,MLB,TeamPremium,trending,0,0,0,0,0,False
72,1453476363546112003,2989983989,en,RT @DevinWhite__40: My friends at @FifthThird want to fly you and a friend to see a @Buccaneers game on the road! Come cheer us on in Atlan…,,2021-10-27T21:39:04.000Z,,Twitter Web App,,,,,,,,,2,17,0,0,0,False
73,1453476340460576779,914409277984509952,en,"RT @StellaYeahilike: #ad Friends, making #sausages. Happy holiday. #food
1. Automatic Sausages Maker Machine
    https://t.co/KkI752hCtd
2.…",,2021-10-27T21:38:58.000Z,https://t.co/KkI752hCtd,Twitter for Android,,,,ad,sausages,food,,,1,31,0,0,0,False
74,1453476331706990594,1210991516019118080,en,"RT @jbolivar410: @FortniteGame #Fortnite 75 Vbucks gratis disponibles en Save the World !! 🔥

⚡ 64 (35 vbucks)
⚡ 94 (40 vbucks)
Usa Código:…",,2021-10-27T21:38:56.000Z,,Twitter for Android,,,,Fortnite,,,,,2,1,0,0,0,False
75,1453476275264401410,728745083995082752,en,"Check out this Tabletop Etsy Shop!

Tower Rex 
#ad https://t.co/wYAophtERO

Featuring wooden board game box inserts, scenery, game upgrades, organizers, player tokens and more! https://t.co/Pw96VI9xfE",,2021-10-27T21:38:42.000Z,https://t.co/wYAophtERO,TweetDeck,,,,ad,,,,,0,0,0,0,0,False
76,1453476273917997056,756435414098010112,en,"RT @KwingsLetsPlays: #GuardiansOfTheGalaxy #GOTGgame #kwingsletsplays #youtubegaming #Ad 
https://t.co/SizEoW3mmu
MARVEL Guardians of the G…",,2021-10-27T21:38:42.000Z,https://t.co/SizEoW3mmu,Twitter for Android,MARVEL Guardians,Other,0.4114,GuardiansOfTheGalaxy,GOTGgame,kwingsletsplays,youtubegaming,Ad,1,6,0,0,0,False
77,1453476270730272774,1430688031166566410,en,RT @TherealAceClick: I need someone who I can #trust to use my #Fortnite  account and level it up because…. Yeah.? Who want to use my accou…,,2021-10-27T21:38:41.000Z,,Twitter Web App,,,,trust,Fortnite,,,,1,1,0,0,0,False
78,1453476219547262977,1430688031166566410,en,"I need someone who I can #trust to use my #Fortnite  account and level it up because…. Yeah.? Who want to use my account for just leveling up my account on fortnite? 
#ad #trust #Fortnite",,2021-10-27T21:38:29.000Z,,Twitter Web App,,,,trust,Fortnite,ad,trust,Fortnite,0,1,1,1,0,False
80,1453476193022341120,2200433106,en,RT @StrictlyCasuaI: 📣 Help support us here at SC by checking out @manscaped and their FANTASTIC products! Get 20% OFF + Free Shipping with…,,2021-10-27T21:38:23.000Z,,Twitter for iPhone,,,,,,,,,2,2,0,0,0,False
81,1453476173103738887,3052673962,en,"RT @WeAreSTV: ""I never thought it would happen to me.""

Even if you expect everything is fine, don’t ignore your smear test invite: https:/…",,2021-10-27T21:38:18.000Z,,Twitter for iPhone,,,,,,,,,1,18,0,0,0,False
82,1453476158897590277,3388074669,en,"RT @ericjwriting: 2-4 Cavalry Book 6: Operation Morning Glory
#IARTG #ad #MilitarySF #booklovers
#Sciencefiction
US: https://t.co/SfiHrtAiR…",,2021-10-27T21:38:15.000Z,,Twitter Web App,,,,IARTG,ad,MilitarySF,booklovers,Sciencefiction,1,1,0,0,0,False
83,1453476148323700744,914409277984509952,en,RT @FortuneMagazine: Work as we know it simply doesn’t work. Leaders need to reimagine collaboration so teams can become more connected. #ad,,2021-10-27T21:38:12.000Z,,Twitter for Android,,,,ad,,,,,1,31,0,0,0,False
84,1453476143965876224,1366063448602345479,en,"RT @snkr_twitr: CORRECTION: Dropping tomorrow 3pm PT/6pm ET via Urbanstar 

Nike Dunk Low ‘Halloween’
-&gt;  https://t.co/08XnrlyxQr

Nike Air…",,2021-10-27T21:38:11.000Z,https://t.co/08XnrlyxQr,Twitter for Android,Nike Dunk Low,Product,0.421,,,,,,1,24,0,0,0,False
85,1453476127008243714,3388074669,en,"RT @ericjwriting: Playstation 5 Video Games, Accessories 
https://t.co/zI2cEYy0ID
#PS5 #Games #gaming #onlineshopping
#ad",,2021-10-27T21:38:07.000Z,https://t.co/zI2cEYy0ID,Twitter Web App,Playstation 5,Product,0.7415,PS5,Games,gaming,onlineshopping,ad,1,1,0,0,0,False
86,1453476091918700544,1365368669027655682,en,RT @ThatFellaCrafty: Solid heavy stainless steel keyring with engine attached. One for the greasy oil smelling petrol head in your life #et…,,2021-10-27T21:37:59.000Z,,Twitter for Android,,,,,,,,,1,1,0,0,0,False
87,1453476062134898689,935242836,en,"BulkSupplements HMB Powder - #Fasting Supplement - Butyrate Supplement - #Muscle Building Supplements (250 Grams - 8.8 oz) 
#bodybuilding #helpYOUgetGAINS #ad 

https://t.co/ICQLbkF8MT https://t.co/dlXY3B4yib",,2021-10-27T21:37:52.000Z,https://t.co/ICQLbkF8MT,Twitter for iPhone,BulkSupplements HMB Powder - #Fasting Supplement - Butyrate Supplement,Product,0.6637,Fasting,Muscle,bodybuilding,helpYOUgetGAINS,ad,0,0,0,0,0,False
